,current_focus_point,time
32932,6,1710159901.5116851
32933,6,1710159901.513327
32934,6,1710159901.5147169
32935,6,1710159901.5162497
32936,6,1710159901.5177848
32937,6,1710159901.519436
32938,6,1710159901.5209792
32939,6,1710159901.5224965
32940,6,1710159901.5240102
32941,6,1710159901.525586
32942,6,1710159901.5268002
32943,6,1710159901.5282521
32944,6,1710159901.5295713
32945,6,1710159901.5310447
32946,6,1710159901.5326037
32947,6,1710159901.5341823
32948,6,1710159901.5357704
32949,6,1710159901.5372903
32950,6,1710159901.5387435
32951,6,1710159901.540277
32952,6,1710159901.541836
32953,6,1710159901.5432727
32954,6,1710159901.5448549
32955,6,1710159901.546383
32956,6,1710159901.5479124
32957,6,1710159901.549515
32958,6,1710159901.5510185
32959,6,1710159901.552138
32960,6,1710159901.5532234
32961,6,1710159901.5546136
32962,6,1710159901.5561118
32963,6,1710159901.5576355
32964,6,1710159901.5588558
32965,6,1710159901.5599432
32966,6,1710159901.5612557
32967,6,1710159901.5625975
32968,6,1710159901.5638416
32969,6,1710159901.5651057
32970,6,1710159901.5663497
32971,6,1710159901.5675902
32972,6,1710159901.568766
32973,6,1710159901.5698829
32974,6,1710159901.5710158
32975,6,1710159901.5722456
32976,6,1710159901.573449
32977,6,1710159901.574641
32978,6,1710159901.575908
32979,6,1710159901.5771763
32980,6,1710159901.5784228
32981,6,1710159901.5797205
32982,6,1710159901.5809875
32983,6,1710159901.5822504
32984,6,1710159901.5835273
32985,6,1710159901.584311
32986,6,1710159901.5856147
32987,6,1710159901.5868115
32988,6,1710159901.5880654
32989,6,1710159901.5890656
32990,6,1710159901.5900815
32991,6,1710159901.591308
32992,6,1710159901.592521
32993,6,1710159901.593734
32994,6,1710159901.5949273
32995,6,1710159901.5961585
32996,6,1710159901.5972204
32997,6,1710159901.598355
32998,6,1710159901.5996075
32999,6,1710159901.600431
33000,6,1710159901.6017036
33001,6,1710159901.6029296
33002,6,1710159901.6041684
33003,6,1710159901.6053057
33004,6,1710159901.6064591
33005,6,1710159901.6076722
33006,6,1710159901.6089394
33007,6,1710159901.6099925
33008,6,1710159901.6112025
33009,6,1710159901.612469
33010,6,1710159901.613752
33011,6,1710159901.614932
33012,6,1710159901.6160316
33013,6,1710159901.6174567
33014,6,1710159901.6187935
33015,6,1710159901.6204026
33016,6,1710159901.6218164
33017,6,1710159901.623308
33018,6,1710159901.6249301
33019,6,1710159901.6265504
33020,6,1710159901.6280766
33021,6,1710159901.629637
33022,6,1710159901.6311424
33023,6,1710159901.6324253
33024,6,1710159901.634079
33025,6,1710159901.6356688
33026,6,1710159901.6372104
33027,6,1710159901.6387036
33028,6,1710159901.6402369
33029,6,1710159901.6417315
33030,6,1710159901.6432996
33031,6,1710159901.6448703
33032,6,1710159901.6464117
33033,6,1710159901.6480234
33034,6,1710159901.6495965
33035,6,1710159901.6510386
33036,6,1710159901.6521525
33037,6,1710159901.6537814
33038,6,1710159901.6552863
33039,6,1710159901.6568232
33040,6,1710159901.6583185
33041,6,1710159901.659972
33042,6,1710159901.661556
33043,6,1710159901.6630821
33044,6,1710159901.6646538
33045,6,1710159901.6662369
33046,6,1710159901.6677938
33047,6,1710159901.6693285
33048,6,1710159901.6708648
33049,6,1710159901.672399
33050,6,1710159901.67389
33051,6,1710159901.675419
33052,6,1710159901.6772084
33053,6,1710159901.6787386
33054,6,1710159901.6802902
33055,6,1710159901.6818545
33056,6,1710159901.683373
33057,6,1710159901.6846144
33058,6,1710159901.6860309
33059,6,1710159901.6875622
33060,6,1710159901.6889262
33061,6,1710159901.6900454
33062,6,1710159901.6914263
33063,6,1710159901.6929858
33064,6,1710159901.6943083
33065,6,1710159901.6957114
33066,6,1710159901.6970437
33067,6,1710159901.6983755
33068,6,1710159901.6994746
33069,6,1710159901.7003577
33070,6,1710159901.7015789
33071,6,1710159901.7027645
33072,6,1710159901.704006
33073,6,1710159901.7051842
33074,6,1710159901.7060766
33075,6,1710159901.707243
33076,6,1710159901.7084894
33077,6,1710159901.7097225
33078,6,1710159901.710882
33079,6,1710159901.7120535
33080,6,1710159901.7133415
33081,6,1710159901.714553
33082,6,1710159901.7158153
33083,6,1710159901.7170434
33084,6,1710159901.7182133
33085,6,1710159901.7197194
33086,6,1710159901.7212784
33087,6,1710159901.7226694
33088,6,1710159901.7239163
33089,6,1710159901.725194
33090,6,1710159901.7264144
33091,6,1710159901.7276237
33092,6,1710159901.7288544
33093,6,1710159901.729933
33094,6,1710159901.7312198
33095,6,1710159901.732271
33096,6,1710159901.733534
33097,6,1710159901.7347746
33098,6,1710159901.7359953
33099,6,1710159901.7372227
33100,6,1710159901.738455
33101,6,1710159901.739717
33102,6,1710159901.7409372
33103,6,1710159901.7421112
33104,6,1710159901.7432146
33105,6,1710159901.744499
33106,6,1710159901.7457573
33107,6,1710159901.746822
33108,6,1710159901.748103
33109,6,1710159901.749374
33110,6,1710159901.7506156
33111,6,1710159901.7518418
33112,6,1710159901.7528865
33113,6,1710159901.754057
33114,6,1710159901.755259
33115,6,1710159901.7565215
33116,6,1710159901.757734
33117,6,1710159901.75881
33118,6,1710159901.759841
33119,6,1710159901.7611141
33120,6,1710159901.7622788
33121,6,1710159901.7635326
33122,6,1710159901.7647743
33123,6,1710159901.766047
33124,6,1710159901.7673318
33125,6,1710159901.7684796
33126,6,1710159901.7697682
33127,6,1710159901.7709227
33128,6,1710159901.7723253
33129,6,1710159901.773832
33130,6,1710159901.7751775
33131,6,1710159901.7763157
33132,6,1710159901.7775943
33133,6,1710159901.7786884
33134,6,1710159901.779924
33135,7,1710159904.7353427
33136,7,1710159904.7366812
33137,7,1710159904.737649
33138,7,1710159904.7386277
33139,7,1710159904.7397687
33140,7,1710159904.7409801
33141,7,1710159904.7418826
33142,7,1710159904.742623
33143,7,1710159904.7437196
33144,7,1710159904.7447357
33145,7,1710159904.7457817
33146,7,1710159904.7466323
33147,7,1710159904.7475824
33148,7,1710159904.7484088
33149,7,1710159904.7493892
33150,7,1710159904.7501762
33151,7,1710159904.751296
33152,7,1710159904.7523825
33153,7,1710159904.7545676
33154,7,1710159904.7558303
33155,7,1710159904.7572796
33156,7,1710159904.758566
33157,7,1710159904.760085
33158,7,1710159904.7612286
33159,7,1710159904.7625213
33160,7,1710159904.7639465
33161,7,1710159904.7652524
33162,7,1710159904.7663553
33163,7,1710159904.7678227
33164,7,1710159904.7692294
33165,7,1710159904.7706304
33166,7,1710159904.7720969
33167,7,1710159904.7735813
33168,7,1710159904.7750561
33169,7,1710159904.7765756
33170,7,1710159904.7781022
33171,7,1710159904.77947
33172,7,1710159904.7809663
33173,7,1710159904.7824583
33174,7,1710159904.7840865
33175,7,1710159904.785609
33176,7,1710159904.7870328
33177,7,1710159904.788364
33178,7,1710159904.789752
33179,7,1710159904.7910268
33180,7,1710159904.792559
33181,7,1710159904.7940958
33182,7,1710159904.7955856
33183,7,1710159904.7971873
33184,7,1710159904.798662
33185,7,1710159904.8001666
33186,7,1710159904.8016696
33187,7,1710159904.80325
33188,7,1710159904.8046858
33189,7,1710159904.8060396
33190,7,1710159904.807591
33191,7,1710159904.8090632
33192,7,1710159904.8105245
33193,7,1710159904.811954
33194,7,1710159904.8132696
33195,7,1710159904.8146307
33196,7,1710159904.8159623
33197,7,1710159904.8173826
33198,7,1710159904.8187091
33199,7,1710159904.819986
33200,7,1710159904.8213217
33201,7,1710159904.8226535
33202,7,1710159904.8238356
33203,7,1710159904.8251987
33204,7,1710159904.826187
33205,7,1710159904.8274784
33206,7,1710159904.828696
33207,7,1710159904.8299708
33208,7,1710159904.8310275
33209,7,1710159904.8322606
33210,7,1710159904.8334963
33211,7,1710159904.834744
33212,7,1710159904.83612
33213,7,1710159904.8373287
33214,7,1710159904.8385174
33215,7,1710159904.8397856
33216,7,1710159904.8410594
33217,7,1710159904.8422718
33218,7,1710159904.8435328
33219,7,1710159904.8447917
33220,7,1710159904.8459997
33221,7,1710159904.8471775
33222,7,1710159904.8483837
33223,7,1710159904.8496647
33224,7,1710159904.8509042
33225,7,1710159904.852145
33226,7,1710159904.8532832
33227,7,1710159904.8543108
33228,7,1710159904.8555727
33229,7,1710159904.8567865
33230,7,1710159904.8580437
33231,7,1710159904.8591208
33232,7,1710159904.8603952
33233,7,1710159904.8614988
33234,7,1710159904.86261
33235,7,1710159904.8634536
33236,7,1710159904.864754
33237,7,1710159904.866014
33238,7,1710159904.8672128
33239,7,1710159904.8684442
33240,7,1710159904.8695805
33241,7,1710159904.8707151
33242,7,1710159904.8719778
33243,7,1710159904.873209
33244,7,1710159904.874495
33245,7,1710159904.8757281
33246,7,1710159904.8766818
33247,7,1710159904.8776119
33248,7,1710159904.8787198
33249,7,1710159904.879603
33250,7,1710159904.8806973
33251,7,1710159904.8818316
33252,7,1710159904.8827815
33253,7,1710159904.883639
33254,7,1710159904.8846307
33255,7,1710159904.885693
33256,7,1710159904.8866107
33257,7,1710159904.8874195
33258,7,1710159904.8882291
33259,7,1710159904.889664
33260,7,1710159904.8912196
33261,7,1710159904.8925416
33262,7,1710159904.8935566
33263,7,1710159904.8945413
33264,7,1710159904.895823
33265,7,1710159904.897158
33266,7,1710159904.8981752
33267,7,1710159904.8991244
33268,7,1710159904.900036
33269,7,1710159904.900854
33270,7,1710159904.9016387
33271,7,1710159904.9026382
33272,7,1710159904.9037263
33273,7,1710159904.9047394
33274,7,1710159904.9056802
33275,7,1710159904.906697
33276,7,1710159904.9076495
33277,7,1710159904.9088378
33278,7,1710159904.9096274
33279,7,1710159904.910631
33280,7,1710159904.9116206
33281,7,1710159904.9125872
33282,7,1710159904.9135802
33283,7,1710159904.9146106
33284,7,1710159904.9156141
33285,7,1710159904.9165962
33286,7,1710159904.917749
33287,7,1710159904.9188144
33288,7,1710159904.9199798
33289,7,1710159904.9210997
33290,7,1710159904.922133
33291,7,1710159904.9232843
33292,7,1710159904.924403
33293,7,1710159904.9256256
33294,7,1710159904.9267523
33295,7,1710159904.9279082
33296,7,1710159904.9288628
33297,7,1710159904.9300776
33298,7,1710159904.9313612
33299,7,1710159904.9325883
33300,7,1710159904.9336994
33301,7,1710159904.9347975
33302,7,1710159904.9359508
33303,7,1710159904.9371483
33304,7,1710159904.9382372
33305,7,1710159904.939493
33306,7,1710159904.9405763
33307,7,1710159904.9417996
33308,7,1710159904.9427369
33309,7,1710159904.9440086
33310,7,1710159904.9452245
33311,7,1710159904.9464138
33312,7,1710159904.9477355
33313,7,1710159904.9489913
33314,7,1710159904.950224
33315,7,1710159904.9513865
33316,7,1710159904.9521933
33317,7,1710159904.9534533
33318,7,1710159904.9546592
33319,7,1710159904.9558532
33320,7,1710159904.9570885
33321,7,1710159904.9583354
33322,7,1710159904.9595869
33323,7,1710159904.9608831
33324,7,1710159904.9621444
33325,7,1710159904.963317
33326,7,1710159904.9646144
33327,7,1710159904.9659245
33328,7,1710159904.9670615
33329,7,1710159904.9680874
33330,7,1710159904.9690657
33331,7,1710159904.970157
33332,7,1710159904.9714413
33333,7,1710159904.9726965
33334,7,1710159904.973909
33335,7,1710159904.9750743
33336,7,1710159904.9761221
33337,7,1710159904.9773989
33338,7,1710159904.978615
33339,7,1710159904.9798744
33340,7,1710159904.981146
33341,7,1710159904.9823844
33342,7,1710159904.983586
33343,7,1710159904.9847322
33344,7,1710159904.985908
33345,7,1710159904.9869785
33346,7,1710159904.988197
33347,7,1710159904.9894505
33348,7,1710159904.9906683
33349,7,1710159904.9919307
33350,7,1710159904.9932003
33351,7,1710159904.9944925
33352,7,1710159904.9956908
33353,7,1710159904.9969857
33354,7,1710159904.9982767
33355,7,1710159904.999557
33356,7,1710159905.0005038
33357,7,1710159905.0017345
33358,7,1710159905.0029402
33359,7,1710159905.0041986
33360,7,1710159905.0054533
33361,7,1710159905.006682
33362,7,1710159905.0077267
33363,7,1710159905.0089586
33364,7,1710159905.010149
33365,7,1710159905.0115304
33366,7,1710159905.0126517
33367,7,1710159905.0137591
33368,7,1710159905.0149026
33369,7,1710159905.0160558
33370,7,1710159905.0173092
33371,7,1710159905.01848
33372,7,1710159905.0200932
33373,7,1710159905.0212722
33374,7,1710159905.0223978
33375,7,1710159905.023417
33376,7,1710159905.0246599
33377,7,1710159905.0259073
33378,7,1710159905.0269938
33379,7,1710159905.028272
33380,7,1710159905.0293658
33381,7,1710159905.0305767
33382,7,1710159905.0317843
33383,7,1710159905.0329754
33384,7,1710159905.034142
33385,7,1710159905.0353968
33386,7,1710159905.0366204
33387,7,1710159905.0377853
33388,7,1710159905.0389338
33389,7,1710159905.0401707
33390,7,1710159905.0414045
33391,7,1710159905.0425067
33392,7,1710159905.0438194
33393,7,1710159905.0451086
33394,7,1710159905.046161
33395,7,1710159905.0474403
33396,7,1710159905.048709
33397,7,1710159905.049955
33398,7,1710159905.0511675
33399,7,1710159905.0523992
33400,7,1710159905.0534549
33401,7,1710159905.054649
33402,7,1710159905.055898
33403,7,1710159905.0571737
33404,7,1710159905.0584264
33405,7,1710159905.059715
33406,7,1710159905.0610247
33407,7,1710159905.0623226
