;trial_number;first_item;second_item;congruent;direction;start;end;trial_id;result;valid;reason;duration
127;7;tablet;gesture;True;left;2024-03-20 11:11:25.862156630;2024-03-20 11:11:29.863661051;7;False;False;overtime;1970-01-01 00:00:04.000248909
128;8;tablet;gesture;True;right;2024-03-20 11:11:34.561324120;2024-03-20 11:11:38.563174486;8;False;False;overtime;1970-01-01 00:00:04.000522852
129;9;speech;gesture;True;right;2024-03-20 11:11:43.229595661;2024-03-20 11:11:47.232259750;9;False;False;overtime;1970-01-01 00:00:04.001053095
130;10;speech;tablet;True;left;2024-03-20 11:11:51.900027037;2024-03-20 11:11:55.901659966;10;False;False;overtime;1970-01-01 00:00:04.000003099
131;11;tablet;gesture;True;left;2024-03-20 11:12:00.696088314;2024-03-20 11:12:04.699039221;11;False;False;overtime;1970-01-01 00:00:04.000880003
132;12;speech;gesture;False;left;2024-03-20 11:12:09.372969151;2024-03-20 11:12:13.375407219;12;False;False;overtime;1970-01-01 00:00:04.000358820
133;13;speech;gesture;False;right;2024-03-20 11:12:18.048001766;2024-03-20 11:12:22.050195217;13;False;False;overtime;1970-01-01 00:00:04.001038551
134;14;speech;tablet;False;right;2024-03-20 11:12:26.702997208;2024-03-20 11:12:30.704715729;14;False;False;overtime;1970-01-01 00:00:04.000023365
135;15;speech;gesture;True;left;2024-03-20 11:12:35.377221107;2024-03-20 11:12:39.380493164;15;False;False;overtime;1970-01-01 00:00:04.000448465
136;16;speech;gesture;False;left;2024-03-20 11:12:44.046423912;2024-03-20 11:12:48.048531532;16;False;False;overtime;1970-01-01 00:00:04.000779629
137;17;tablet;gesture;True;right;2024-03-20 11:12:52.750047207;2024-03-20 11:12:56.751475096;17;False;False;overtime;1970-01-01 00:00:04.000311136
138;18;speech;tablet;False;left;2024-03-20 11:13:01.404240847;2024-03-20 11:13:05.406564951;18;False;False;overtime;1970-01-01 00:00:04.000938654
139;19;speech;tablet;True;right;2024-03-20 11:13:10.072308540;2024-03-20 11:13:14.074021816;19;False;False;overtime;1970-01-01 00:00:04.000020981
140;20;tablet;gesture;False;right;2024-03-20 11:13:18.760046244;2024-03-20 11:13:22.763271570;20;False;False;overtime;1970-01-01 00:00:04.000027895
141;21;speech;tablet;False;right;2024-03-20 11:13:27.417114735;2024-03-20 11:13:31.419456720;21;False;False;overtime;1970-01-01 00:00:04.000641108
142;22;speech;tablet;True;left;2024-03-20 11:13:36.102754354;2024-03-20 11:13:40.104719877;22;False;False;overtime;1970-01-01 00:00:04.001017094
143;23;tablet;gesture;False;left;2024-03-20 11:13:44.794652462;2024-03-20 11:13:48.795971632;23;False;False;overtime;1970-01-01 00:00:04.000356913
144;0;speech;gesture;False;right;2024-03-20 11:14:06.040769100;2024-03-20 11:14:10.043385506;0;False;False;overtime;1970-01-01 00:00:04.001118660
145;1;tablet;gesture;True;left;2024-03-20 11:14:14.732765436;2024-03-20 11:14:18.734390736;1;False;False;overtime;1970-01-01 00:00:04.000360012
146;2;speech;tablet;False;right;2024-03-20 11:14:23.396047354;2024-03-20 11:14:27.398190022;2;False;False;overtime;1970-01-01 00:00:04.000342369
147;3;tablet;gesture;True;right;2024-03-20 11:14:32.082140446;2024-03-20 11:14:36.084241390;3;False;False;overtime;1970-01-01 00:00:04.000719786
148;4;speech;gesture;True;left;2024-03-20 11:14:40.743757010;2024-03-20 11:14:44.746935129;4;False;False;overtime;1970-01-01 00:00:04.000993966
149;5;tablet;gesture;False;right;2024-03-20 11:14:49.429240227;2024-03-20 11:14:53.431499958;5;False;False;overtime;1970-01-01 00:00:04.000672102
150;6;speech;tablet;True;left;2024-03-20 11:14:58.103362560;2024-03-20 11:15:02.105814934;6;False;False;overtime;1970-01-01 00:00:04.000894070
151;7;tablet;gesture;True;left;2024-03-20 11:15:06.811804533;2024-03-20 11:15:10.813791513;7;False;False;overtime;1970-01-01 00:00:04.000430107
152;8;speech;tablet;False;left;2024-03-20 11:15:15.477248669;2024-03-20 11:15:19.478941679;8;False;False;overtime;1970-01-01 00:00:04.000040770
153;9;speech;gesture;True;left;2024-03-20 11:15:24.153429508;2024-03-20 11:15:28.155248642;9;False;False;overtime;1970-01-01 00:00:04.000381231
154;10;speech;tablet;False;left;2024-03-20 11:15:32.838988066;2024-03-20 11:15:36.841980934;10;False;False;overtime;1970-01-01 00:00:04.001110077
155;11;speech;gesture;True;right;2024-03-20 11:15:41.508843660;2024-03-20 11:15:45.510758638;11;False;False;overtime;1970-01-01 00:00:04.000031948
156;12;speech;tablet;True;right;2024-03-20 11:15:50.176948547;2024-03-20 11:15:54.179488420;12;False;False;overtime;1970-01-01 00:00:04.001042366
157;13;tablet;gesture;False;left;2024-03-20 11:15:58.865643024;2024-03-20 11:16:02.867744207;13;False;False;overtime;1970-01-01 00:00:04.000976086
158;14;speech;tablet;True;right;2024-03-20 11:16:07.538524866;2024-03-20 11:16:11.541151047;14;False;False;overtime;1970-01-01 00:00:04.001138926
159;15;tablet;gesture;False;left;2024-03-20 11:16:16.226260424;2024-03-20 11:16:20.227923393;15;False;False;overtime;1970-01-01 00:00:04.000545263
160;16;speech;gesture;False;right;2024-03-20 11:16:24.890569210;2024-03-20 11:16:28.892727375;16;False;False;overtime;1970-01-01 00:00:04.001142502
161;17;tablet;gesture;False;right;2024-03-20 11:16:33.579720974;2024-03-20 11:16:37.581472397;17;False;False;overtime;1970-01-01 00:00:04.000473022
162;18;speech;gesture;False;left;2024-03-20 11:16:42.250918150;2024-03-20 11:16:46.253067255;18;False;False;overtime;1970-01-01 00:00:04.000554323
163;19;speech;tablet;False;right;2024-03-20 11:16:51.076036453;2024-03-20 11:16:55.078257084;19;False;False;overtime;1970-01-01 00:00:04.000080585
164;20;tablet;gesture;True;right;2024-03-20 11:16:59.767075300;2024-03-20 11:17:03.768511295;20;False;False;overtime;1970-01-01 00:00:04.000364065
165;21;speech;gesture;True;right;2024-03-20 11:17:08.432320833;2024-03-20 11:17:12.434251785;21;False;False;overtime;1970-01-01 00:00:04.000051260
166;22;speech;tablet;True;left;2024-03-20 11:17:17.102355003;2024-03-20 11:17:21.103649139;22;False;False;overtime;1970-01-01 00:00:04.000226021
167;23;speech;gesture;False;left;2024-03-20 11:17:25.765567064;2024-03-20 11:17:29.767747402;23;False;False;overtime;1970-01-01 00:00:04.000701904
168;0;tablet;gesture;False;left;2024-03-20 11:17:55.058163643;2024-03-20 11:17:59.059823513;0;False;False;overtime;1970-01-01 00:00:04.000782490
169;1;speech;gesture;False;right;2024-03-20 11:18:03.737231970;2024-03-20 11:18:07.739360094;1;False;False;overtime;1970-01-01 00:00:04.000724316
170;2;speech;gesture;False;left;2024-03-20 11:18:12.412053347;2024-03-20 11:18:16.415315151;2;False;False;overtime;1970-01-01 00:00:04.000585556
171;3;speech;gesture;True;left;2024-03-20 11:18:21.090855598;2024-03-20 11:18:25.092812777;3;False;False;overtime;1970-01-01 00:00:04.001136065
172;4;tablet;gesture;False;left;2024-03-20 11:18:29.781063318;2024-03-20 11:18:33.782989740;4;False;False;overtime;1970-01-01 00:00:04.000665188
173;5;speech;tablet;True;right;2024-03-20 11:18:38.442714453;2024-03-20 11:18:42.444694042;5;False;False;overtime;1970-01-01 00:00:04.001025438
174;6;speech;tablet;False;left;2024-03-20 11:18:47.113525152;2024-03-20 11:18:51.116289854;6;False;False;overtime;1970-01-01 00:00:04.001038551
175;7;speech;gesture;False;right;2024-03-20 11:18:55.773369312;2024-03-20 11:18:59.776005745;7;False;False;overtime;1970-01-01 00:00:04.000865936
176;8;tablet;gesture;False;right;2024-03-20 11:19:04.468782187;2024-03-20 11:19:08.470344305;8;False;False;overtime;1970-01-01 00:00:04.000468493
177;9;speech;tablet;False;right;2024-03-20 11:19:13.240108252;2024-03-20 11:19:17.243080378;9;False;False;overtime;1970-01-01 00:00:04.001150608
178;10;tablet;gesture;True;left;2024-03-20 11:19:21.939097881;2024-03-20 11:19:25.941202402;10;False;False;overtime;1970-01-01 00:00:04.000652790
179;11;speech;gesture;True;right;2024-03-20 11:19:30.603567123;2024-03-20 11:19:34.605146885;11;False;False;overtime;1970-01-01 00:00:04.000490665
180;12;speech;gesture;False;left;2024-03-20 11:19:39.287428379;2024-03-20 11:19:43.289890528;12;False;False;overtime;1970-01-01 00:00:04.001179457
